,Date,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
29,2018-04-06,NYY,21.2,92,13.7,2.5,5.5,1.7,35.9%,6.5%,29.3%,.256,1.29,.367,53.6%,3.35,2.70
0,2018-04-07,CIN,19.1,97,7.9,6.1,1.3,1.9,17.5%,13.4%,4.1%,.321,2.02,.367,57.7%,6.57,5.94
1,2018-04-07,CHW,20.0,95,8.1,3.6,2.3,1.4,18.9%,8.4%,10.5%,.302,1.70,.354,48.7%,4.66,5.19
2,2018-04-07,KCR,15.1,68,5.9,4.1,1.4,2.3,14.7%,10.3%,4.4%,.250,1.43,.239,57.5%,6.81,5.15
3,2018-04-07,PIT,29.1,129,7.7,5.5,1.4,0.3,19.4%,14.0%,5.4%,.236,1.50,.298,66.5%,3.84,5.03
4,2018-04-07,DET,25.0,106,7.9,3.6,2.2,0.7,20.8%,9.4%,11.3%,.232,1.28,.282,59.6%,3.76,4.97
5,2018-04-07,ATL,31.0,135,8.7,6.4,1.4,0.0,22.2%,16.3%,5.9%,.171,1.32,.235,86.1%,3.55,4.88
6,2018-04-07,PHI,24.1,109,7.0,4.1,1.7,1.5,17.4%,10.1%,7.3%,.229,1.36,.247,57.8%,5.34,4.83
7,2018-04-07,TBR,31.0,135,8.4,4.6,1.8,0.6,21.5%,11.8%,9.6%,.231,1.39,.291,71.1%,3.87,4.79
8,2018-04-07,CLE,23.1,96,8.1,3.1,2.6,1.5,21.9%,8.3%,13.5%,.212,1.11,.233,85.5%,5.00,4.76
9,2018-04-07,LAD,25.2,102,7.0,3.9,1.8,1.1,19.6%,10.8%,8.8%,.220,1.21,.250,78.4%,4.41,4.75
10,2018-04-07,MIN,20.1,84,9.7,6.2,1.6,0.9,26.2%,16.7%,9.5%,.171,1.28,.217,90.5%,4.34,4.52
11,2018-04-07,OAK,33.0,146,5.7,2.5,2.3,0.8,14.4%,6.2%,8.2%,.294,1.48,.330,72.0%,3.98,4.50
12,2018-04-07,WSN,21.0,90,10.7,4.3,2.5,1.7,27.8%,11.1%,16.7%,.221,1.29,.271,53.3%,5.11,4.45
13,2018-04-07,TEX,36.1,159,9.4,4.2,2.2,0.7,23.9%,10.7%,13.2%,.234,1.38,.300,72.7%,3.63,4.33
14,2018-04-07,LAA,37.2,152,9.3,4.1,2.3,0.5,25.7%,11.2%,14.5%,.187,1.11,.247,87.1%,3.21,4.28
15,2018-04-07,BOS,27.0,115,10.3,5.3,1.9,0.7,27.0%,13.9%,13.0%,.194,1.30,.262,72.3%,3.72,4.22
16,2018-04-07,ARI,27.1,109,7.9,3.6,2.2,0.7,22.0%,10.1%,11.9%,.173,1.02,.208,87.3%,3.56,4.12
17,2018-04-07,COL,29.2,120,7.9,3.3,2.4,0.9,21.7%,9.2%,12.5%,.224,1.18,.269,61.0%,4.04,4.11
18,2018-04-07,SDP,33.1,137,8.9,3.8,2.4,0.8,24.1%,10.2%,13.9%,.180,1.08,.221,70.1%,3.70,4.07
19,2018-04-07,TOR,26.1,109,9.2,2.4,3.9,1.7,24.8%,6.4%,18.4%,.240,1.18,.279,88.5%,4.60,4.02
20,2018-04-07,MIA,40.1,167,8.3,3.3,2.5,0.7,22.2%,9.0%,13.2%,.212,1.17,.261,75.3%,3.48,3.99
21,2018-04-07,BAL,34.0,144,9.5,4.2,2.3,1.1,25.0%,11.1%,13.9%,.202,1.21,.250,73.6%,4.34,3.97
