,Date,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
2,2018-04-17,Jose Berrios,MIN,20.2,75,10.5,0.4,24.0,0.4,32.0%,1.3%,30.7%,.164,0.63,.229,71.4%,1.76,2.57
3,2018-04-17,Corey Kluber,CLE,23.0,81,10.6,1.6,6.8,0.8,33.3%,4.9%,28.4%,.143,0.65,.188,90.2%,2.47,2.48
0,2018-04-18,Jake Odorizzi,MIN,21.1,90,8.0,4.6,1.7,1.7,21.1%,12.2%,8.9%,.228,1.36,.250,89.7%,5.36,4.94
1,2018-04-18,Danny Duffy,KCR,21.0,90,9.9,4.7,2.1,1.3,25.6%,12.2%,13.3%,.203,1.29,.245,74.6%,4.40,4.67
2,2018-04-18,Trevor Bauer,CLE,20.0,85,9.4,3.1,3.0,0.5,24.7%,8.2%,16.5%,.197,1.10,.259,84.1%,3.06,4.31
3,2018-04-18,Carlos Carrasco,CLE,20.2,77,6.1,1.3,4.7,1.3,18.2%,3.9%,14.3%,.203,0.87,.210,72.5%,4.13,3.84
4,2018-04-18,Corey Kluber,CLE,29.2,109,10.0,1.8,5.5,0.6,30.3%,5.5%,24.8%,.155,0.74,.206,88.5%,2.42,2.88
5,2018-04-18,Jose Berrios,MIN,20.2,75,10.5,0.4,24.0,0.4,32.0%,1.3%,30.7%,.164,0.63,.229,71.4%,1.76,2.57
0,2018-04-19,Jake Odorizzi,MIN,21.1,90,8.0,4.6,1.7,1.7,21.1%,12.2%,8.9%,.228,1.36,.250,89.7%,5.36,4.94
1,2018-04-19,Danny Duffy,KCR,21.0,90,9.9,4.7,2.1,1.3,25.6%,12.2%,13.3%,.203,1.29,.245,74.6%,4.40,4.67
2,2018-04-19,Trevor Bauer,CLE,20.0,85,9.4,3.1,3.0,0.5,24.7%,8.2%,16.5%,.197,1.10,.259,84.1%,3.06,4.31
3,2018-04-19,Ian Kennedy,KCR,23.0,100,8.6,2.7,3.1,1.2,22.0%,7.0%,15.0%,.247,1.30,.294,85.3%,3.86,3.96
4,2018-04-19,Carlos Carrasco,CLE,27.2,102,6.8,1.3,5.3,1.0,20.6%,3.9%,16.7%,.184,0.80,.203,78.6%,3.49,3.63
5,2018-04-19,Corey Kluber,CLE,29.2,109,10.0,1.8,5.5,0.6,30.3%,5.5%,24.8%,.155,0.74,.206,88.5%,2.42,2.88
6,2018-04-19,Jose Berrios,MIN,27.2,99,9.4,0.3,29.0,0.3,29.3%,1.0%,28.3%,.155,0.58,.209,76.9%,1.75,2.65
0,2018-04-20,Jake Odorizzi,MIN,21.1,90,8.0,4.6,1.7,1.7,21.1%,12.2%,8.9%,.228,1.36,.250,89.7%,5.36,4.94
1,2018-04-20,Danny Duffy,KCR,21.0,90,9.9,4.7,2.1,1.3,25.6%,12.2%,13.3%,.203,1.29,.245,74.6%,4.40,4.67
2,2018-04-20,Trevor Bauer,CLE,20.0,85,9.4,3.1,3.0,0.5,24.7%,8.2%,16.5%,.197,1.10,.259,84.1%,3.06,4.31
