,base,source,qp_match,fit,qp
38,MMOORE-L,MMOORE,MMoore,100,Matt Moore
39,MSHOEMAKER-R,MSHOEMAKER,MShoemaker,100,Matt Shoemaker
40,DMENGDEN-R,DMENGDEN,DMengden,100,Daniel Mengden
41,CSABATHIA-L,CSABATHIA,CSabathia,100,CC Sabathia
42,MESTRADA-R,MESTRADA,MEstrada,100,Marco Estrada
43,CCARRASCO-R,CCARRASCO,CCarrasco,100,Carlos Carrasco
44,JPAXTON-L,JPAXTON,JPaxton,100,James Paxton
45,RPORCELLO-R,RPORCELLO,RPorcello,100,Rick Porcello
46,KGIBSON-R,KGIBSON,KGibson,100,Kyle Gibson
47,ACASHNER-R,ACASHNER,ACashner,100,Andrew Cashner
48,LGIOLITO-R,LGIOLITO,LGiolito,100,Lucas Giolito
49,IKENNEDY-R,IKENNEDY,IKennedy,100,Ian Kennedy
