,Date,Rot,VH,Team,Pitcher,Final,Open,Close,RL,Open OU,Unnamed: 19,Close OU,Unnamed: 21,hand,qp,concat,F5,game_id
606,2018-05-15,954,H,MIA,WCHEN-L,4,155,161.0,+1.5(+101),8.0,-115,8.0,-101,L,Wei-Yin Chen,515954WCHEN-L,2,Game 607
607,2018-05-15,956,H,ATL,MFOLTYNEWICZ-R,2,110,109.0,+1.5(-159),8.5,-105,9.0,-105,R,Mike Foltynewicz,515956MFOLTYNEWICZ-R,1,Game 608
608,2018-05-15,958,H,ARI,ZGREINKE-R,2,-160,-162.0,-1.5(+130),8.0,-110,8.0,-115,R,Zack Greinke,515958ZGREINKE-R,1,Game 609
609,2018-05-15,960,H,SFO,TBLACH-L,5,-125,-144.0,-1.5(+148),7.5,118,8.0,-120,L,Ty Blach,515960TBLACH-L,4,Game 610
610,2018-05-15,962,H,BOS,ERODRIGUEZ-L,3,-185,-185.0,-1.5(+105),9.5,-110,10.0,-115,L,Eduardo Rodriguez,515962ERODRIGUEZ-L,2,Game 611
611,2018-05-15,964,H,DET,FLIRIANO-L,9,115,138.0,+1.5(-124),9.5,-115,9.0,-119,L,Francisco Liriano,515964FLIRIANO-L,3,Game 612
612,2018-05-15,966,H,KAN,IKENNEDY-R,5,-125,104.0,+1.5(-168),9.0,-105,8.5,-105,R,Ian Kennedy,515966IKENNEDY-R,3,Game 613
613,2018-05-15,968,H,LAA,JBARRIA-R,3,145,145.0,+1.5(-117),7.5,-110,8.0,-105,R,Jaime Barria,515968JBARRIA-R,3,Game 614
614,2018-05-15,970,H,SEA,MLEAKE-R,9,-145,-134.0,-1.5(+151),8.5,-110,9.0,-120,R,Mike Leake,515970MLEAKE-R,6,Game 615
615,2018-05-15,974,H,WAS,GGONZALEZ-L,3,110,113.0,+1.5(-142),8.5,-110,8.5,100,L,Gio Gonzalez,515974GGONZALEZ-L,3,Game 616
616,2018-05-15,976,H,PIT,TWILLIAMS-R,7,-160,-133.0,-1.5(+155),8.0,-110,9.0,-124,R,Trevor Williams,515976TWILLIAMS-R,6,Game 617
617,2018-05-15,978,H,NYM,NSYNDERGAARD-R,12,-180,-145.0,-1.5(+155),7.5,-120,7.5,-115,R,Noah Syndergaard,515978NSYNDERGAARD-R,9,Game 618
618,2018-05-15,980,H,MIN,JBERRIOS-R,4,-125,-119.0,-1.5(+172),9.0,-120,9.0,100,R,Jose Berrios,515980JBERRIOS-R,0,Game 619
619,2018-05-16,902,H,ARI,MKOCH-R,2,-125,-109.0,-1.5(+170),8.5,100,8.5,-105,R,Matt Koch,516902MKOCH-R,2,Game 620
620,2018-05-16,904,H,SFO,ASUAREZ-L,3,-137,-158.0,-1.5(+142),8.5,-119,8.0,-110,L,Andrew Suarez,516904ASUAREZ-L,3,Game 621
621,2018-05-16,906,H,MIA,EHERNANDEZ-R,6,155,175.0,+1.5(+110),7.5,-101,8.0,-111,R,Elieser Hernandez,516906EHERNANDEZ-R,5,Game 622
622,2018-05-16,908,H,ATL,BMCCARTHY-R,4,120,-111.0,-1.5(+176),9.5,-119,10.0,-119,R,Brandon McCarthy,516908BMCCARTHY-R,1,Game 623
623,2018-05-16,910,H,DET,RCARPENTER-L,0,205,207.0,+1.5(+120),9.5,-120,9.0,-125,,,516910RCARPENTER-L,0,Game 624
624,2018-05-16,912,H,KAN,JHAMMEL-R,3,109,105.0,+1.5(-165),9.0,100,9.0,-101,R,Jason Hammel,516912JHAMMEL-R,3,Game 625
625,2018-05-16,914,H,SEA,CBERGMAN-R,1,-138,-103.0,+1.5(-175),9.0,100,8.5,-101,,,516914CBERGMAN-R,0,Game 626
626,2018-05-16,916,H,BOS,CSALE-L,6,-260,-260.0,-1.5(-130),8.5,-101,8.0,-119,L,Chris Sale,516916CSALE-L,3,Game 627
627,2018-05-16,918,H,LAA,GRICHARDS-R,0,140,105.0,+1.5(-154),7.5,-120,7.5,-125,R,Garrett Richards,516918GRICHARDS-R,0,Game 628
628,2018-05-16,920,H,BAL,ACASHNER-R,1,-106,-101.0,+1.5(-155),10.5,-110,10.0,-120,R,Andrew Cashner,516920ACASHNER-R,1,Game 629
629,2018-05-16,922,H,PIT,JTAILLON-R,3,-210,-175.0,-1.5(+115),8.5,-120,8.0,-110,R,Jameson Taillon,516922JTAILLON-R,2,Game 630
