,Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,RL,Open OU,Unnamed: 19,Close OU,Unnamed: 21,source,qp_match,fit,hand,qp,concat
3590,812,978,H,LAA,TCOLE-R,1,2,0,0,1,1,0,2,0,7,-109,125.0,+1.5(-125),8.5,-110,8.5,-119,,,,,,812978TCOLE-R
3591,812,979,V,STL,LWEAVER-R,0,0,1,0,0,0,3,1,3,8,-175,-143.0,-1.5(+109),9.0,-110,9.0,-112,LWEAVER,LWeaver,100.0,R,Luke Weaver,812979LWEAVER-R
3592,812,980,H,KAN,JJUNIS-R,1,0,1,0,0,0,0,0,0,2,155,128.0,+1.5(-129),9.0,-110,9.0,-108,JJUNIS,JJunis,100.0,R,Jakob Junis,812980JJUNIS-R
3593,813,901,V,MIA,MGONZALEZ-R,0,0,0,0,0,1,0,0,0,1,205,270.0,+1.5(+130),9.0,-105,9.0,-101,,,,,,813901MGONZALEZ-R
3594,813,902,H,ATL,MFOLTYNEWICZ-R,2,0,0,0,1,2,1,0,x,6,-230,-310.0,-1.5(-150),9.0,-115,9.0,-119,MFOLTYNEWICZ,MFoltynewicz,100.0,R,Mike Foltynewicz,813902MFOLTYNEWICZ-R
3595,813,903,V,WAS,TMILONE-L,0,1,0,1,0,0,2,0,2,6,135,116.0,+1.5(-180),9.0,100,9.0,-115,TMILONE,TMilone,100.0,L,Tommy Milone,813903TMILONE-L
3596,813,904,H,STL,MMIKOLAS-R,1,0,0,1,0,0,0,4,1,7,-150,-131.0,-1.5(+155),9.0,-120,9.0,-105,MMIKOLAS,MMikolas,100.0,R,Miles Mikolas,813904MMIKOLAS-R
3597,813,905,V,SFO,MBUMGARNER-L,0,0,0,0,0,1,0,0,4,5,170,175.0,+1.5(-125),7.0,-110,7.0,-105,MBUMGARNER,MBumgarner,100.0,L,Madison Bumgarner,813905MBUMGARNER-L
3598,813,906,H,LAD,CKERSHAW-L,0,0,0,1,1,0,0,0,0,2,-190,-200.0,-1.5(+105),7.0,-110,7.0,-115,CKERSHAW,CKershaw,100.0,L,Clayton Kershaw,813906CKERSHAW-L
3599,813,907,V,CWS,RLOPEZ-R,0,0,3,0,0,1,0,1,0,5,-109,-105.0,-1.5(+149),9.0,-105,9.0,-119,RLOPEZ,RLopez,100.0,R,Reynaldo Lopez,813907RLOPEZ-R
3600,813,908,H,DET,ALEWICKI-R,0,0,1,1,2,0,2,3,x,9,-101,-105.0,+1.5(-170),9.0,-115,9.0,-101,,,,,,813908ALEWICKI-R
3601,813,909,V,TOR,SREID-FOLEY-R,1,0,0,0,0,0,0,0,0,1,-120,-131.0,-1.5(+126),9.0,-120,8.5,-120,SREID-FOLEY,SReid-Foley,100.0,R,Sean Reid-Foley,813909SREID-FOLEY-R
3602,813,910,H,KAN,BKELLER-R,0,2,0,1,0,0,0,0,x,3,110,116.0,+1.5(-146),9.0,100,8.5,100,BKELLER,BKeller,100.0,R,Brad Keller,813910BKELLER-R
3603,813,911,V,SEA,MGONZALES-L,0,0,0,1,0,0,0,2,3,6,130,121.0,+1.5(-180),8.0,-110,8.0,-115,MGONZALES,MGonzales,100.0,L,Marco Gonzales,813911MGONZALES-L
3604,813,912,H,OAK,SMANAEA-L,1,0,3,0,0,3,0,0,x,7,-145,-136.0,-1.5(+155),8.0,-110,8.0,-105,SMANAEA,SManaea,100.0,L,Sean Manaea,813912SMANAEA-L
3605,813,913,V,CLE,MCLEVINGER-R,0,0,2,0,0,7,1,0,0,10,-160,-179.0,-1.5(-125),9.0,-120,9.5,104,MCLEVINGER,MClevinger,100.0,R,Mike Clevinger,813913MCLEVINGER-R
3606,813,914,H,CIN,HBAILEY-R,0,1,0,0,1,0,0,1,0,3,140,159.0,+1.5(+105),9.0,100,9.5,-124,HBAILEY,HBailey,100.0,R,Homer Bailey,813914HBAILEY-R
3607,813,915,V,ARI,ZGREINKE-R,2,0,0,0,1,0,0,0,0,3,-170,-172.0,-1.5(-125),10.0,-115,9.5,-101,ZGREINKE,ZGreinke,100.0,R,Zack Greinke,813915ZGREINKE-R
3608,813,916,H,TEX,BCOLON-R,0,0,1,3,0,0,0,1,x,5,150,152.0,+1.5(+105),10.0,-105,9.5,-119,BCOLON,BColon,100.0,R,Bartolo Colon,813916BCOLON-R
3609,813,917,V,LAA,AHEANEY-L,0,0,2,0,0,0,0,0,0,6,-125,114.0,+1.5(-210),8.0,-110,8.0,-105,AHEANEY,AHeaney,100.0,L,Andrew Heaney,813917AHEANEY-L
3610,813,918,H,SDG,CRICHARD-L,0,0,1,0,0,0,0,1,0,3,110,-324.0,-1.5(+176),8.0,-110,8.0,-115,CRICHARD,CRichard,100.0,L,Clayton Richard,813918CRICHARD-L
3611,813,919,V,MIA,PLOPEZ-R,0,1,0,0,0,0,0,0,0,1,170,175.0,+1.5(-120),9.0,-110,8.5,-115,PLOPEZ,PLopez,100.0,R,Pablo Lopez,813919PLOPEZ-R
3612,813,920,H,ATL,TTOUSSAINT-R,1,0,0,1,1,5,0,1,x,9,-190,-195.0,-1.5(+100),9.0,-110,8.5,-105,TTOUSSAINT,TToussaint,100.0,R,Touki Toussaint,813920TTOUSSAINT-R
3613,813,921,V,NYM,JDEGROM-R,2,0,0,2,0,1,2,0,1,8,160,185.0,+1.5(-120),7.0,-120,7.0,-125,JDEGROM,JdeGrom,100.0,R,Jacob deGrom,813921JDEGROM-R
3614,813,922,H,NYY,LSEVERINO-R,0,0,2,0,1,0,0,2,0,5,-180,-210.0,-1.5(+100),7.0,100,7.0,105,LSEVERINO,LSeverino,100.0,R,Luis Severino,813922LSEVERINO-R
3615,814,951,V,MIL,JCHACIN-R,3,0,2,0,0,1,0,1,0,7,125,121.0,+1.5(-160),9.0,-105,9.5,-110,JCHACIN,JChacin,100.0,R,Jhoulys Chacin,814951JCHACIN-R
3616,814,952,H,CUB,JQUINTANA-L,0,0,0,0,0,0,0,0,0,0,-140,-136.0,-1.5(+140),9.0,-115,9.5,-110,JQUINTANA,JQuintana,100.0,L,Jose Quintana,814952JQUINTANA-L
3617,814,953,V,MIA,TRICHARDS-R,0,0,2,3,0,1,0,0,0,6,160,175.0,+1.5(-115),8.5,-101,8.5,-110,TRICHARDS,TRichards,100.0,R,Trevor Richards,814953TRICHARDS-R
3618,814,954,H,ATL,ASANCHEZ-R,2,0,2,0,1,1,4,0,x,10,-180,-200.0,-1.5(-105),8.5,-119,8.5,-110,ASANCHEZ,ASanchez,100.0,R,Aaron Sanchez,814954ASANCHEZ-R
3620,814,955,V,WAS,GGONZALEZ-L,0,0,0,0,1,0,0,3,0,4,-102,-102.0,-1.5(+151),9.0,100,9.0,-119,GGONZALEZ,GGonzalez,100.0,L,Gio Gonzalez,814955GGONZALEZ-L
3621,814,956,H,STL,JGANT-R,0,3,0,2,0,1,0,0,x,6,-108,-108.0,+1.5(-175),9.0,-120,9.0,-101,JGANT,JGant,100.0,R,John Gant,814956JGANT-R
3622,814,957,V,SFO,ASUAREZ-L,0,1,0,0,0,0,0,0,1,2,170,172.0,+1.5(-120),8.0,-105,8.0,-110,ASUAREZ,ASuarez,100.0,L,Andrew Suarez,814957ASUAREZ-L
3623,814,958,H,LAD,AWOOD-L,0,0,0,0,0,0,0,1,0,1,-190,-192.0,-1.5(+100),8.0,-115,8.0,-110,AWOOD,AWood,100.0,L,Alex Wood,814958AWOOD-L
3624,814,959,V,TAM,HWOOD-R,0,0,0,0,0,0,0,1,0,1,195,180.0,+1.5(-115),9.0,100,8.5,-110,,,,,,814959HWOOD-R
3625,814,960,H,NYY,JHAPP-L,1,0,0,0,2,0,0,1,x,4,-220,-205.0,-1.5(-105),9.0,-120,8.5,-110,JHAPP,JHapp,100.0,L,J.A. Happ,814960JHAPP-L
3626,814,961,V,CWS,LGIOLITO-R,3,1,0,0,2,0,0,0,0,6,115,116.0,+1.5(-180),9.0,100,9.0,-112,LGIOLITO,LGiolito,100.0,R,Lucas Giolito,814961LGIOLITO-R
3627,814,962,H,DET,BHARDY-L,3,0,0,0,0,0,0,0,0,3,-130,-131.0,-1.5(+155),9.0,-120,9.0,-108,BHARDY,BHardy,100.0,L,Blaine Hardy,814962BHARDY-L
3628,814,963,V,TOR,RBORUCKI-L,0,2,1,1,0,0,0,2,0,6,-140,-147.0,-1.5(+105),9.0,-110,9.0,100,RBORUCKI,RBorucki,100.0,L,Ryan Borucki,814963RBORUCKI-L
3629,814,964,H,KAN,HFILLMYER-R,0,0,3,1,0,0,1,0,0,5,125,132.0,+1.5(-125),9.0,-110,9.0,-120,HFILLMYER,HFillmyer,100.0,R,Heath Fillmyer,814964HFILLMYER-R
3630,814,965,V,SEA,JPAXTON-L,1,0,0,0,1,0,0,0,0,2,-107,-135.0,-1.5(+125),7.5,-110,7.5,-110,JPAXTON,JPaxton,100.0,L,James Paxton,814965JPAXTON-L
3631,814,966,H,OAK,MFIERS-R,1,0,2,0,0,0,0,0,x,3,-103,120.0,+1.5(-145),7.5,-110,7.5,-110,MFIERS,MFiers,100.0,R,Mike Fiers,814966MFIERS-R
3632,814,967,V,BOS,RPORCELLO-R,0,0,1,0,0,0,0,1,0,2,-150,-118.0,-1.5(+135),9.0,-110,8.5,-108,RPORCELLO,RPorcello,100.0,R,Rick Porcello,814967RPORCELLO-R
3633,814,968,H,PHI,NPIVETTA-R,0,0,0,0,1,0,0,0,0,1,135,108.0,+1.5(-155),9.0,-110,8.5,-112,NPIVETTA,NPivetta,100.0,R,Nick Pivetta,814968NPIVETTA-R
3634,814,969,V,NYM,JVARGAS-L,0,0,0,0,2,0,0,0,1,3,-105,-311.0,-1.5(+148),9.5,100,10.0,-105,JVARGAS,JVargas,100.0,L,Jason Vargas,814969JVARGAS-L
3635,814,970,H,BAL,ACASHNER-R,0,0,0,1,0,1,2,2,x,6,-105,101.0,+1.5(-170),9.5,-120,10.0,-115,ACASHNER,ACashner,100.0,R,Andrew Cashner,814970ACASHNER-R
3636,814,971,V,CLE,CKLUBER-R,4,2,0,0,1,1,0,0,0,8,-230,-205.0,-1.5(-130),8.5,-110,8.5,-125,CKLUBER,CKluber,100.0,R,Corey Kluber,814971CKLUBER-R
3637,814,972,H,CIN,SROMANO-R,0,0,0,0,0,0,1,0,0,1,205,180.0,+1.5(+110),8.5,-110,8.5,105,SROMANO,SRomano,100.0,R,Sal Romano,814972SROMANO-R
3638,814,973,V,ARI,PCORBIN-L,1,1,0,2,0,1,0,1,0,6,-160,-174.0,-1.5(-120),10.0,-120,10.0,105,PCORBIN,PCorbin,100.0,L,Patrick Corbin,814973PCORBIN-L
3639,814,974,H,TEX,YGALLARDO-R,0,0,0,1,0,2,0,0,1,4,140,154.0,+1.5(+100),10.0,100,10.0,-125,YGALLARDO,YGallardo,100.0,R,Yovani Gallardo,814974YGALLARDO-R
3640,814,975,V,PIT,JTAILLON-R,0,2,0,0,0,0,0,0,0,2,-130,-129.0,-1.5(+128),9.0,100,9.0,-113,JTAILLON,JTaillon,100.0,R,Jameson Taillon,814975JTAILLON-R
3641,814,976,H,MIN,JODORIZZI-R,0,0,0,3,0,0,0,2,x,5,115,114.0,+1.5(-148),9.0,-120,9.0,-107,JODORIZZI,JOdorizzi,100.0,R,Jake Odorizzi,814976JODORIZZI-R
3642,814,977,V,COL,GMARQUEZ-R,0,0,0,0,0,2,1,1,1,5,175,177.0,+1.5(-115),7.5,100,7.0,-110,GMARQUEZ,GMarquez,100.0,R,German Marquez,814977GMARQUEZ-R
